JrId_pubmed,JournalTitle_pubmed,ISSN_Print_pubmed,Sourceid_SM,Title_SM,ISSN_SM,Type_SM,Subject_Category_SM,Matched_ISSN
6782,Psychological research,0340-0727,13466,psychological research,"14302772, 03400727",journal,Developmental_and_Educational_Psychology,True
6792,Psychophysiology,0048-5772,18747,psychophysiology,"00485772, 14698986",journal,Developmental_and_Educational_Psychology,True
6792,Psychophysiology,0048-5772,18747,psychophysiology,"00485772, 14698986",journal,Developmental_and_Educational_Psychology,True
6792,Psychophysiology,0048-5772,18747,psychophysiology,"00485772, 14698986",journal,Developmental_and_Educational_Psychology,True
6793,Psychosomatic medicine,0033-3174,19172,psychosomatic medicine,"00333174, 15347796",journal,Developmental_and_Educational_Psychology,True
6793,Psychosomatic medicine,0033-3174,19172,psychosomatic medicine,"00333174, 15347796",journal,Developmental_and_Educational_Psychology,True
6798,Psychotherapy and psychosomatics,0033-3190,19181,psychotherapy and psychosomatics,"00333190, 14230348",journal,Clinical_Psychology,True
6798,Psychotherapy and psychosomatics,0033-3190,19181,psychotherapy and psychosomatics,"00333190, 14230348",journal,Clinical_Psychology,True
7019,Research in developmental disabilities,0891-4222,19227,research in developmental disabilities,"18733379, 08914222",journal,Developmental_and_Educational_Psychology,True
7019,Research in developmental disabilities,0891-4222,19227,research in developmental disabilities,"18733379, 08914222",journal,Developmental_and_Educational_Psychology,True
7390,Social psychology,0147-829X,19700188900,social psychology,"18649335, 21512590",journal,Social_Psychology,False
7390,Social psychology,0147-829X,19700188900,social psychology,"18649335, 21512590",journal,Social_Psychology,False
7421,Scandinavian journal of psychology,0036-5564,14775,scandinavian journal of psychology,"14679450, 00365564",journal,Developmental_and_Educational_Psychology,True
7421,Scandinavian journal of psychology,0036-5564,14775,scandinavian journal of psychology,"14679450, 00365564",journal,Developmental_and_Educational_Psychology,True
20161,Consciousness and cognition,1053-8100,13401,consciousness and cognition,"10538100, 10902376",journal,Developmental_and_Educational_Psychology,True
20161,Consciousness and cognition,1053-8100,13401,consciousness and cognition,"10538100, 10902376",journal,Developmental_and_Educational_Psychology,True
20463,Learning and motivation,0023-9690,13457,learning and motivation,"00239690, 10959122",journal,Developmental_and_Educational_Psychology,True
20463,Learning and motivation,0023-9690,13457,learning and motivation,"00239690, 10959122",journal,Developmental_and_Educational_Psychology,True
20463,Learning and motivation,0023-9690,13457,learning and motivation,"00239690, 10959122",journal,Developmental_and_Educational_Psychology,True
20517,Journal of marital and family therapy,0194-472X,15567,journal of marital and family therapy,"17520606, 0194472X",journal,Social_Psychology,True
20517,Journal of marital and family therapy,0194-472X,15567,journal of marital and family therapy,"17520606, 0194472X",journal,Social_Psychology,True
20737,Assessment,1073-1911,12058,assessment,"10731911, 15523489",journal,Clinical_Psychology,True
20737,Assessment,1073-1911,12058,assessment,"10731911, 15523489",journal,Clinical_Psychology,True
21214,Trends in cognitive sciences,1364-6613,15359,trends in cognitive sciences,"1879307X, 13646613",journal,Neuropsychology_and_Physiological_Psychology,True
21214,Trends in cognitive sciences,1364-6613,15359,trends in cognitive sciences,"1879307X, 13646613",journal,Neuropsychology_and_Physiological_Psychology,True
21423,New directions for child and adolescent development,1520-3247,12739,new directions for child and adolescent development,"15348687, 15203247",journal,Social_Psychology,True
21423,New directions for child and adolescent development,1520-3247,12739,new directions for child and adolescent development,"15348687, 15203247",journal,Social_Psychology,True
21663,Developmental neuropsychology,8756-5641,13498,developmental neuropsychology,"15326942, 87565641",journal,Developmental_and_Educational_Psychology,True
21663,Developmental neuropsychology,8756-5641,13498,developmental neuropsychology,"15326942, 87565641",journal,Developmental_and_Educational_Psychology,True
22026,Clinical child and family psychology review,1096-4037,12841,clinical child and family psychology review,"15732827, 10964037",journal,Developmental_and_Educational_Psychology,True
22026,Clinical child and family psychology review,1096-4037,12841,clinical child and family psychology review,"15732827, 10964037",journal,Developmental_and_Educational_Psychology,True
22752,Journal of environmental psychology,0272-4944,15470,journal of environmental psychology,"02724944, 15229610",journal,Social_Psychology,True
22752,Journal of environmental psychology,0272-4944,15470,journal of environmental psychology,"02724944, 15229610",journal,Social_Psychology,True
22781,Applied cognitive psychology,0888-4080,12024,applied cognitive psychology,"10990720, 08884080",journal,Developmental_and_Educational_Psychology,True
22781,Applied cognitive psychology,0888-4080,12024,applied cognitive psychology,"10990720, 08884080",journal,Developmental_and_Educational_Psychology,True
25513,Counseling and values,0160-7960,18336,counseling and values,"01607960, 2161007X",journal,Social_Psychology,True
25513,Counseling and values,0160-7960,18336,counseling and values,"01607960, 2161007X",journal,Social_Psychology,True
25547,Journal of criminal justice,0047-2352,25733,journal of criminal justice,00472352,journal,Social_Psychology,True
25547,Journal of criminal justice,0047-2352,25733,journal of criminal justice,00472352,journal,Social_Psychology,True
25566,Basic and applied social psychology,0197-3533,12088,basic and applied social psychology,"01973533, 15324834",journal,Social_Psychology,True
25566,Basic and applied social psychology,0197-3533,12088,basic and applied social psychology,"01973533, 15324834",journal,Social_Psychology,True
25609,Counselling psychology quarterly,0951-5070,13450,counselling psychology quarterly,"09515070, 14693674",journal,Clinical_Psychology,True
25609,Counselling psychology quarterly,0951-5070,13450,counselling psychology quarterly,"09515070, 14693674",journal,Clinical_Psychology,True
25616,Journal of business and psychology,0889-3268,15392,journal of business and psychology,"1573353X, 08893268",journal,Psychology_(miscellaneous),True
25616,Journal of business and psychology,0889-3268,15392,journal of business and psychology,"1573353X, 08893268",journal,Psychology_(miscellaneous),True
25639,Journal of social and clinical psychology,0736-7236,30085,journal of social and clinical psychology,07367236,journal,Social_Psychology,True
25639,Journal of social and clinical psychology,0736-7236,30085,journal of social and clinical psychology,07367236,journal,Social_Psychology,True
25652,Deviant behavior,0163-9625,14293,deviant behavior,"15210456, 01639625",journal,Social_Psychology,True
25652,Deviant behavior,0163-9625,14293,deviant behavior,"15210456, 01639625",journal,Social_Psychology,True
25696,Aggressive behavior,0096-140X,29452,aggressive behavior,"10982337, 0096140X",journal,Developmental_and_Educational_Psychology,True
25696,Aggressive behavior,0096-140X,29452,aggressive behavior,"10982337, 0096140X",journal,Developmental_and_Educational_Psychology,True
25702,Journal of counseling psychology,0022-0167,15452,journal of counseling psychology,00220167,journal,Social_Psychology,True
25702,Journal of counseling psychology,0022-0167,15452,journal of counseling psychology,00220167,journal,Social_Psychology,True
25731,Journal of research in personality,0092-6566,30073,journal of research in personality,"00926566, 10957251",journal,Social_Psychology,True
25731,Journal of research in personality,0092-6566,30073,journal of research in personality,"00926566, 10957251",journal,Social_Psychology,True
25867,Journal of social and personal relationships,0265-4075,30086,journal of social and personal relationships,02654075,journal,Social_Psychology,True
25867,Journal of social and personal relationships,0265-4075,30086,journal of social and personal relationships,02654075,journal,Social_Psychology,True
26738,Zeitschrift fur Psychosomatische Medizin und Psychotherapie,1438-3608,19987,zeitschrift fur psychosomatische medizin und psychotherapie,14383608,journal,Clinical_Psychology,True
26738,Zeitschrift fur Psychosomatische Medizin und Psychotherapie,1438-3608,19987,zeitschrift fur psychosomatische medizin und psychotherapie,14383608,journal,Clinical_Psychology,True
26994,Journal of attention disorders,1087-0547,16248,journal of attention disorders,"10870547, 15571246",journal,Developmental_and_Educational_Psychology,True
26994,Journal of attention disorders,1087-0547,16248,journal of attention disorders,"10870547, 15571246",journal,Developmental_and_Educational_Psychology,True
27028,Experimental psychology,1618-3169,14145,experimental psychology,"21905142, 16183169",journal,Psychology_(miscellaneous),True
27028,Experimental psychology,1618-3169,14145,experimental psychology,"21905142, 16183169",journal,Psychology_(miscellaneous),True
27133,Personal Relationships,1350-4126,15965,personal relationships,"13504126, 14756811",journal,Social_Psychology,True
27133,Personal Relationships,1350-4126,15965,personal relationships,"13504126, 14756811",journal,Social_Psychology,True
27568,International journal of behavioral development,0165-0254,14871,international journal of behavioral development,"01650254, 14640651",journal,Social_Psychology,True
27568,International journal of behavioral development,0165-0254,14871,international journal of behavioral development,"01650254, 14640651",journal,Social_Psychology,True
27586,Intelligence,0160-2896,14852,intelligence,01602896,journal,Developmental_and_Educational_Psychology,True
27586,Intelligence,0160-2896,14852,intelligence,01602896,journal,Developmental_and_Educational_Psychology,True
27587,Cognitive therapy and research,0147-5916,12887,cognitive therapy and research,"01475916, 15732819",journal,Clinical_Psychology,True
27587,Cognitive therapy and research,0147-5916,12887,cognitive therapy and research,"01475916, 15732819",journal,Clinical_Psychology,True
27597,Psychology of women quarterly,0361-6843,14035,psychology of women quarterly,"14716402, 03616843",journal,Developmental_and_Educational_Psychology,True
27597,Psychology of women quarterly,0361-6843,14035,psychology of women quarterly,"14716402, 03616843",journal,Developmental_and_Educational_Psychology,True
27628,Sex roles,0360-0025,14798,sex roles,"03600025, 15732762",journal,Social_Psychology,True
27628,Sex roles,0360-0025,14798,sex roles,"03600025, 15732762",journal,Social_Psychology,True
27699,Pastoral psychology,0031-2789,12792,pastoral psychology,"15736679, 00312789",journal,Social_Psychology,True
27699,Pastoral psychology,0031-2789,12792,pastoral psychology,"15736679, 00312789",journal,Social_Psychology,True
27827,Educational and psychological measurement,0013-1644,13563,educational and psychological measurement,"00131644, 15523888",journal,Developmental_and_Educational_Psychology,True
27827,Educational and psychological measurement,0013-1644,13563,educational and psychological measurement,"00131644, 15523888",journal,Developmental_and_Educational_Psychology,True
27827,Educational and psychological measurement,0013-1644,13563,educational and psychological measurement,"00131644, 15523888",journal,Developmental_and_Educational_Psychology,True
27845,Journal for the theory of social behaviour,0021-8308,15367,journal for the theory of social behaviour,"14685914, 00218308",journal,Social_Psychology,True
27845,Journal for the theory of social behaviour,0021-8308,15367,journal for the theory of social behaviour,"14685914, 00218308",journal,Social_Psychology,True
27858,Journal of youth and adolescence,0047-2891,25680,journal of youth and adolescence,"15736601, 00472891",journal,Social_Psychology,True
27858,Journal of youth and adolescence,0047-2891,25680,journal of youth and adolescence,"15736601, 00472891",journal,Social_Psychology,True
28254,Journal of interpersonal violence,0886-2605,20374,journal of interpersonal violence,08862605,journal,Clinical_Psychology,True
28254,Journal of interpersonal violence,0886-2605,20374,journal of interpersonal violence,08862605,journal,Clinical_Psychology,True
29380,Behaviormetrika,0385-7417,15947,behaviormetrika,03857417,journal,Clinical_Psychology,True
29380,Behaviormetrika,0385-7417,15947,behaviormetrika,03857417,journal,Clinical_Psychology,True
29716,Learning and individual differences,1041-6080,13453,learning and individual differences,"18733425, 10416080",journal,Social_Psychology,True
29716,Learning and individual differences,1041-6080,13453,learning and individual differences,"18733425, 10416080",journal,Social_Psychology,True
32511,Neuropsychological rehabilitation,0960-2011,18011,neuropsychological rehabilitation,"14640694, 09602011",journal,Psychology_(miscellaneous),True
32511,Neuropsychological rehabilitation,0960-2011,18011,neuropsychological rehabilitation,"14640694, 09602011",journal,Psychology_(miscellaneous),True
32511,Neuropsychological rehabilitation,0960-2011,18011,neuropsychological rehabilitation,"14640694, 09602011",journal,Psychology_(miscellaneous),True
32541,Behavior research methods,1554-351X,146223,behavior research methods,"15543528, 1554351X",journal,Developmental_and_Educational_Psychology,True
32541,Behavior research methods,1554-351X,146223,behavior research methods,"15543528, 1554351X",journal,Developmental_and_Educational_Psychology,True
32541,Behavior research methods,1554-351X,146223,behavior research methods,"15543528, 1554351X",journal,Developmental_and_Educational_Psychology,True
32561,Research in human development,1542-7609,19700188308,research in human development,"15427617, 15427609",journal,Social_Psychology,True
32561,Research in human development,1542-7609,19700188308,research in human development,"15427617, 15427609",journal,Social_Psychology,True
32644,Journal of research in reading,0141-0423,12834,journal of research in reading,"14679817, 01410423",journal,Developmental_and_Educational_Psychology,True
32644,Journal of research in reading,0141-0423,12834,journal of research in reading,"14679817, 01410423",journal,Developmental_and_Educational_Psychology,True
32645,Social cognition,0278-016X,14823,social cognition,0278016X,journal,Social_Psychology,True
32645,Social cognition,0278-016X,14823,social cognition,0278016X,journal,Social_Psychology,True
32924,Cognitive neuropsychology,0264-3294,14916,cognitive neuropsychology,"14640627, 02643294",journal,Developmental_and_Educational_Psychology,True
32924,Cognitive neuropsychology,0264-3294,14916,cognitive neuropsychology,"14640627, 02643294",journal,Developmental_and_Educational_Psychology,True
32924,Cognitive neuropsychology,0264-3294,14916,cognitive neuropsychology,"14640627, 02643294",journal,Developmental_and_Educational_Psychology,True
32998,Psychological services,1541-1559,5300152209,psychological services,15411559,journal,Clinical_Psychology,True
32998,Psychological services,1541-1559,5300152209,psychological services,15411559,journal,Clinical_Psychology,True
33082,BioPsychoSocial medicine,,6400153136,biopsychosocial medicine,17510759,journal,Social_Psychology,False
33082,BioPsychoSocial medicine,,6400153136,biopsychosocial medicine,17510759,journal,Social_Psychology,False
33093,Journal of memory and language,0749-596X,22478,journal of memory and language,"10960821, 0749596X",journal,Neuropsychology_and_Physiological_Psychology,True
33093,Journal of memory and language,0749-596X,22478,journal of memory and language,"10960821, 0749596X",journal,Neuropsychology_and_Physiological_Psychology,True
33112,Body image,1740-1445,12159,body image,"17401445, 18736807",journal,Social_Psychology,True
33112,Body image,1740-1445,12159,body image,"17401445, 18736807",journal,Social_Psychology,True
33112,Body image,1740-1445,12159,body image,"17401445, 18736807",journal,Social_Psychology,True
33226,Applied psycholinguistics,0142-7164,18654,applied psycholinguistics,"14691817, 01427164",journal,Psychology_(miscellaneous),True
33226,Applied psycholinguistics,0142-7164,18654,applied psycholinguistics,"14691817, 01427164",journal,Psychology_(miscellaneous),True
33382,Cognitive development,0885-2014,12869,cognitive development,08852014,journal,Developmental_and_Educational_Psychology,True
33382,Cognitive development,0885-2014,12869,cognitive development,08852014,journal,Developmental_and_Educational_Psychology,True
33429,Current directions in psychological science,0963-7214,13477,current directions in psychological science,"14678721, 09637214",journal,Developmental_and_Educational_Psychology,True
33429,Current directions in psychological science,0963-7214,13477,current directions in psychological science,"14678721, 09637214",journal,Developmental_and_Educational_Psychology,True
33794,Applied developmental science,1088-8691,5700155900,applied developmental science,"1532480X, 10888691",journal,Developmental_and_Educational_Psychology,True
33794,Applied developmental science,1088-8691,5700155900,applied developmental science,"1532480X, 10888691",journal,Developmental_and_Educational_Psychology,True
33801,Motivation and emotion,0146-7239,12710,motivation and emotion,"15736644, 01467239",journal,Social_Psychology,True
33801,Motivation and emotion,0146-7239,12710,motivation and emotion,"15736644, 01467239",journal,Social_Psychology,True
33806,International journal of stress management,1072-5245,14761,international journal of stress management,"10725245, 15733424",journal,Psychology_(miscellaneous),True
33806,International journal of stress management,1072-5245,14761,international journal of stress management,"10725245, 15733424",journal,Psychology_(miscellaneous),True
33866,Sleep medicine clinics,1556-407X,17500155127,sleep medicine clinics,"1556407X, 15564088",journal,Clinical_Psychology,True
33866,Sleep medicine clinics,1556-407X,17500155127,sleep medicine clinics,"1556407X, 15564088",journal,Clinical_Psychology,True
34111,Child language teaching and therapy,0265-6590,22015,child language teaching and therapy,"02656590, 14770865",journal,Developmental_and_Educational_Psychology,True
34111,Child language teaching and therapy,0265-6590,22015,child language teaching and therapy,"02656590, 14770865",journal,Developmental_and_Educational_Psychology,True
34292,Research in autism spectrum disorders,1750-9467,5700191204,research in autism spectrum disorders,"17509467, 18780237",journal,Developmental_and_Educational_Psychology,True
34292,Research in autism spectrum disorders,1750-9467,5700191204,research in autism spectrum disorders,"17509467, 18780237",journal,Developmental_and_Educational_Psychology,True
34525,Journal of emotional and behavioral disorders,1063-4266,16705,journal of emotional and behavioral disorders,"15384799, 10634266",journal,Developmental_and_Educational_Psychology,True
34525,Journal of emotional and behavioral disorders,1063-4266,16705,journal of emotional and behavioral disorders,"15384799, 10634266",journal,Developmental_and_Educational_Psychology,True
34867,Journal of adult development,1068-0667,15372,journal of adult development,"10680667, 15733440",journal,Developmental_and_Educational_Psychology,True
34867,Journal of adult development,1068-0667,15372,journal of adult development,"10680667, 15733440",journal,Developmental_and_Educational_Psychology,True
34885,Media psychology,1521-3269,12057,media psychology,"1532785X, 15213269",journal,Social_Psychology,True
34885,Media psychology,1521-3269,12057,media psychology,"1532785X, 15213269",journal,Social_Psychology,True
35648,American journal on intellectual and developmental disabilities,1944-7515,17500155152,american journal on intellectual and developmental disabilities,"19447515, 19447558",journal,Developmental_and_Educational_Psychology,True
35648,American journal on intellectual and developmental disabilities,1944-7515,17500155152,american journal on intellectual and developmental disabilities,"19447515, 19447558",journal,Developmental_and_Educational_Psychology,True
36087,Journal of psychoeducational assessment,0734-2829,12833,journal of psychoeducational assessment,"15575144, 07342829",journal,Psychology_(miscellaneous),True
36087,Journal of psychoeducational assessment,0734-2829,12833,journal of psychoeducational assessment,"15575144, 07342829",journal,Psychology_(miscellaneous),True
36141,Cognition and instruction,0737-0008,12859,cognition and instruction,"1532690X, 07370008",journal,Developmental_and_Educational_Psychology,True
36141,Cognition and instruction,0737-0008,12859,cognition and instruction,"1532690X, 07370008",journal,Developmental_and_Educational_Psychology,True
36141,Cognition and instruction,0737-0008,12859,cognition and instruction,"1532690X, 07370008",journal,Developmental_and_Educational_Psychology,True
36141,Cognition and instruction,0737-0008,12859,cognition and instruction,"1532690X, 07370008",journal,Developmental_and_Educational_Psychology,True
36143,Journal of cognitive psychotherapy,0889-8391,15427,journal of cognitive psychotherapy,"08898391, 1938887X",journal,Clinical_Psychology,True
36143,Journal of cognitive psychotherapy,0889-8391,15427,journal of cognitive psychotherapy,"08898391, 1938887X",journal,Clinical_Psychology,True
36795,Psicologia conductual,1132-9483,13359,psicologia conductual,11329483,journal,Clinical_Psychology,True
36795,Psicologia conductual,1132-9483,13359,psicologia conductual,11329483,journal,Clinical_Psychology,True
36826,Social issues and policy review,1751-2395,19400158483,social issues and policy review,"17512409, 17512395",journal,Social_Psychology,True
36826,Social issues and policy review,1751-2395,19400158483,social issues and policy review,"17512409, 17512395",journal,Social_Psychology,True
36853,Political psychology,0162-895X,22861,political psychology,"0162895X, 14679221",journal,Social_Psychology,True
36853,Political psychology,0162-895X,22861,political psychology,"0162895X, 14679221",journal,Social_Psychology,True
36853,Political psychology,0162-895X,22861,political psychology,"0162895X, 14679221",journal,Social_Psychology,True
36991,"Journal of neuroscience, psychology, and economics",1937-321X,19700166619,"journal of neuroscience, psychology, and economics","1937321X, 2151318X",journal,Neuropsychology_and_Physiological_Psychology,True
36991,"Journal of neuroscience, psychology, and economics",1937-321X,19700166619,"journal of neuroscience, psychology, and economics","1937321X, 2151318X",journal,Neuropsychology_and_Physiological_Psychology,True
36991,"Journal of neuroscience, psychology, and economics",1937-321X,19700166619,"journal of neuroscience, psychology, and economics","1937321X, 2151318X",journal,Neuropsychology_and_Physiological_Psychology,True
37006,Journal of career development,0894-8453,14420,journal of career development,"08948453, 15733548",journal,Psychology_(miscellaneous),True
37006,Journal of career development,0894-8453,14420,journal of career development,"08948453, 15733548",journal,Psychology_(miscellaneous),True
37194,Advances in cognitive psychology,,18300156711,advances in cognitive psychology,18951171,journal,Psychology_(miscellaneous),False
37194,Advances in cognitive psychology,,18300156711,advances in cognitive psychology,18951171,journal,Psychology_(miscellaneous),False
37194,Advances in cognitive psychology,,18300156711,advances in cognitive psychology,18951171,journal,Psychology_(miscellaneous),False
37194,Advances in cognitive psychology,,18300156711,advances in cognitive psychology,18951171,journal,Psychology_(miscellaneous),False
37364,Journal of organizational behavior,0894-3796,30020,journal of organizational behavior,"10991379, 08943796",journal,Psychology_(miscellaneous),True
37364,Journal of organizational behavior,0894-3796,30020,journal of organizational behavior,"10991379, 08943796",journal,Psychology_(miscellaneous),True
37426,Partner abuse,1946-6560,19900191409,partner abuse,"19466560, 19466579",journal,Social_Psychology,True
37426,Partner abuse,1946-6560,19900191409,partner abuse,"19466560, 19466579",journal,Social_Psychology,True
37579,Mindfulness,1868-8527,19600166326,mindfulness,"18688535, 18688527",journal,Social_Psychology,True
37579,Mindfulness,1868-8527,19600166326,mindfulness,"18688535, 18688527",journal,Social_Psychology,True
37579,Mindfulness,1868-8527,19600166326,mindfulness,"18688535, 18688527",journal,Social_Psychology,True
37579,Mindfulness,1868-8527,19600166326,mindfulness,"18688535, 18688527",journal,Social_Psychology,True
37625,Contemporary family therapy,0892-2764,13414,contemporary family therapy,"08922764, 15733335",journal,Social_Psychology,True
37625,Contemporary family therapy,0892-2764,13414,contemporary family therapy,"08922764, 15733335",journal,Social_Psychology,True
37827,Journal of cognition and culture,1567-7095,16800154752,journal of cognition and culture,"15677095, 15685373",journal,Social_Psychology,True
37827,Journal of cognition and culture,1567-7095,16800154752,journal of cognition and culture,"15677095, 15685373",journal,Social_Psychology,True
38221,Creativity research journal,1040-0419,13452,creativity research journal,"15326934, 10400419",journal,Developmental_and_Educational_Psychology,True
38221,Creativity research journal,1040-0419,13452,creativity research journal,"15326934, 10400419",journal,Developmental_and_Educational_Psychology,True
38264,Revista Argentina de ciencias del comportamiento,,21100877822,revista argentina de ciencias del comportamiento,18524206,journal,Developmental_and_Educational_Psychology,False
38264,Revista Argentina de ciencias del comportamiento,,21100877822,revista argentina de ciencias del comportamiento,18524206,journal,Developmental_and_Educational_Psychology,False
38284,Journal of family therapy,0163-4445,16707,journal of family therapy,"14676427, 01634445",journal,Social_Psychology,True
38284,Journal of family therapy,0163-4445,16707,journal of family therapy,"14676427, 01634445",journal,Social_Psychology,True
38294,Social psychological and personality science,1948-5506,19900193555,social psychological and personality science,"19485514, 19485506",journal,Social_Psychology,True
38294,Social psychological and personality science,1948-5506,19900193555,social psychological and personality science,"19485514, 19485506",journal,Social_Psychology,True
38493,Journal of positive behavior interventions,1098-3007,30047,journal of positive behavior interventions,"10983007, 15384772",journal,Developmental_and_Educational_Psychology,True
38493,Journal of positive behavior interventions,1098-3007,30047,journal of positive behavior interventions,"10983007, 15384772",journal,Developmental_and_Educational_Psychology,True
38936,Psychology of violence,2152-0828,19700186336,psychology of violence,"21520828, 2152081X",journal,Social_Psychology,True
38936,Psychology of violence,2152-0828,19700186336,psychology of violence,"21520828, 2152081X",journal,Social_Psychology,True
38970,North American journal of psychology,1527-7143,3900148501,north american journal of psychology,15277143,journal,Developmental_and_Educational_Psychology,True
38970,North American journal of psychology,1527-7143,3900148501,north american journal of psychology,15277143,journal,Developmental_and_Educational_Psychology,True
39036,Psychology of religion and spirituality,1941-1022,17700156745,psychology of religion and spirituality,19411022,journal,Social_Psychology,True
39036,Psychology of religion and spirituality,1941-1022,17700156745,psychology of religion and spirituality,19411022,journal,Social_Psychology,True
39310,Social psychology,1864-9335,19700188900,social psychology,"18649335, 21512590",journal,Social_Psychology,True
39310,Social psychology,1864-9335,19700188900,social psychology,"18649335, 21512590",journal,Social_Psychology,True
39711,Industrial and organizational psychology,1754-9426,21100217612,industrial and organizational psychology,"17549426, 17549434",journal,Social_Psychology,True
39711,Industrial and organizational psychology,1754-9426,21100217612,industrial and organizational psychology,"17549426, 17549434",journal,Social_Psychology,True
39919,Journal of applied research in memory and cognition,2211-3681,20300195073,journal of applied research in memory and cognition,22113681,journal,Clinical_Psychology,True
39919,Journal of applied research in memory and cognition,2211-3681,20300195073,journal of applied research in memory and cognition,22113681,journal,Clinical_Psychology,True
39919,Journal of applied research in memory and cognition,2211-3681,20300195073,journal of applied research in memory and cognition,22113681,journal,Clinical_Psychology,True
