Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
15;22861;"Political Psychology";journal;"0162895X, 14679221";2,161;Q1;117;83;197;5945;1119;194;5,54;71,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2023";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
16;15370;"Journal of Abnormal Psychology";journal;"1939843X, 0021843X";2,119;Q1;220;0;157;0;930;153;4,97;0,00;United States;Northern America;"American Psychological Association";"1946-1959, 1963-2021";"Biological Psychiatry (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
17;16245;"Journal of Affective Disorders";journal;"01650327, 15732517";2,082;Q1;231;1361;4023;76533;24777;3890;5,53;56,23;Netherlands;Western Europe;"Elsevier B.V.";"1979-2024";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
18;3900148209;"International Journal of Clinical and Health Psychology";journal;"16972600";1,887;Q1;55;82;97;5458;721;96;7,70;66,56;Spain;Western Europe;"Elsevier B.V.";"2005-2024";"Clinical Psychology (Q1)";"Psychology"
19;14921;"Comprehensive Psychiatry";journal;"0010440X, 15328384";1,831;Q1;122;73;206;5120;1317;205;4,55;70,14;United States;Northern America;"W.B. Saunders";"1960-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
20;15452;"Journal of Counseling Psychology";journal;"00220167";1,794;Q1;162;60;195;2375;998;195;4,38;39,58;United States;Northern America;"American Psychological Association";"1954-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Social Psychology (Q1)";"Medicine; Psychology"
21;12058;"Assessment";journal;"10731911, 15523489";1,785;Q1;105;211;402;13620;2055;402;4,91;64,55;United States;Northern America;"SAGE Publications Inc.";"1994-2023";"Applied Psychology (Q1); Clinical Psychology (Q1)";"Psychology"
22;12868;"Cognitive Behaviour Therapy";journal;"16512316, 16506073";1,767;Q1;73;37;101;1962;516;98;5,23;53,03;Sweden;Western Europe;"Taylor and Francis A.S.";"2002-2023";"Clinical Psychology (Q1)";"Psychology"
23;12127;"Behaviour Research and Therapy";journal;"00057967, 1873622X";1,761;Q1;216;123;421;8355;2017;413;4,48;67,93;United Kingdom;Western Europe;"Elsevier Ltd";"1963-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
24;12767;"British Journal of Clinical Psychology";journal;"01446657, 20448260";1,730;Q1;101;52;138;2942;683;134;5,25;56,58;United States;Northern America;"Wiley-Blackwell";"1962-1966, 1968, 1970, 1981-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Psychology"
25;15406;"Journal of Clinical Child and Adolescent Psychology";journal;"15374424, 15374416";1,635;Q1;157;92;241;6575;1228;238;4,62;71,47;United States;Northern America;"Routledge";"1999-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1)";"Psychology"
26;21100977385;"Chronic Stress";journal;"24705470";1,600;Q1;26;18;71;1127;357;64;4,77;62,61;United States;Northern America;"SAGE Publications Inc.";"2017-2023";"Behavioral Neuroscience (Q1); Biological Psychiatry (Q1); Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
27;21100854140;"Schizophrenia";journal;"2334265X";1,594;Q1;37;90;213;5651;959;203;3,79;62,79;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2023";"Biological Psychiatry (Q1); Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
28;24763;"Addictive Behaviors";journal;"03064603, 18736327";1,561;Q1;149;283;1043;14357;5045;1023;4,35;50,73;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2024";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Psychology"
29;18200156707;"Psychological Trauma: Theory, Research, Practice, and Policy";journal;"1942969X, 19429681";1,552;Q1;78;159;753;7846;3709;746;2,86;49,35;United States;Northern America;"American Psychological Association";"2009-2023";"Clinical Psychology (Q1); Social Psychology (Q1)";"Psychology"
30;12107;"Behavior Therapy";journal;"00057894, 18781888";1,535;Q1;130;83;291;4756;1300;290;3,66;57,30;United States;Northern America;"Elsevier Inc.";"1970-2023";"Clinical Psychology (Q1)";"Psychology"
31;25334;"Journal of Substance Abuse Treatment";journal;"18736483, 07405472";1,523;Q1;122;16;666;793;2314;646;3,50;49,56;United States;Northern America;"Elsevier Inc.";"1984-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
32;14152;"Family Process";journal;"15455300, 00147370";1,497;Q1;92;172;338;10093;1630;327;4,22;58,68;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2023";"Clinical Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Psychology; Social Sciences"
33;12844;"Clinical Psychology: Science and Practice";journal;"14682850, 09695893";1,487;Q1;120;49;170;2771;595;132;2,70;56,55;United States;Northern America;"Wiley-Blackwell";"1994-2023";"Clinical Psychology (Q1)";"Psychology"
34;14080;"Psychotherapy Research";journal;"10503307, 14684381";1,477;Q1;87;157;252;9300;1122;245;3,73;59,24;United States;Northern America;"Routledge";"1975, 1988, 1991-2023";"Clinical Psychology (Q1)";"Psychology"
35;21101151822;"Adversity and Resilience Science";journal;"26622416, 26622424";1,476;Q1;11;24;76;1661;360;73;3,90;69,21;Switzerland;Western Europe;"Springer Nature";"2022-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)";"Medicine; Psychology"
36;12852;"Clinical Psychology and Psychotherapy";journal;"10633995, 10990879";1,473;Q1;91;120;351;7391;1582;350;4,36;61,59;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Psychology"
37;30042;"Journal of Personality Assessment";journal;"15327752, 00223891";1,465;Q1;117;96;234;5968;973;227;3,65;62,17;United States;Northern America;"Taylor and Francis Ltd.";"1971-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Health, Toxicology and Mutagenesis (Q1); Psychiatry and Mental Health (Q1)";"Arts and Humanities; Environmental Science; Medicine; Psychology"
38;21100972444;"Current Addiction Reports";journal;"21962952";1,446;Q1;43;68;164;5623;823;163;4,34;82,69;Switzerland;Western Europe;"Springer International Publishing";"2014-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
39;21101150129;"Affective Science";journal;"2662205X, 26622041";1,377;Q1;13;54;126;3326;453;117;3,76;61,59;Switzerland;Western Europe;"Springer Nature";"2021, 2023";"Behavioral Neuroscience (Q1); Clinical Psychology (Q1); Neuropsychology and Physiological Psychology (Q1); Social Psychology (Q1)";"Neuroscience; Psychology"
40;21100854907;"Borderline Personality Disorder and Emotion Dysregulation";journal;"20516673";1,373;Q1;32;36;88;2322;389;86;4,18;64,50;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)";"Medicine; Neuroscience; Psychology"
41;13442;"Psychological Assessment";journal;"1939134X, 10403590";1,362;Q1;173;87;331;3885;1274;330;3,32;44,66;United States;Northern America;"American Psychological Association";"1989-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
42;12020;"Anxiety, Stress and Coping";journal;"10615806, 14772205";1,343;Q1;86;84;157;4925;751;157;4,95;58,63;United States;Northern America;"Brunner - Routledge (US)";"1992-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)";"Arts and Humanities; Medicine; Psychology"
43;12005;"Journal of Traumatic Stress";journal;"15736598, 08949867";1,317;Q1;154;109;385;4886;1331;364;2,75;44,83;United States;Northern America;"Wiley-Blackwell";"1988-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
44;70201;"Clinical Neuropsychologist";journal;"13854046, 17444144";1,310;Q1;96;120;295;7560;1301;291;3,96;63,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Neuropsychology and Physiological Psychology (Q1); Psychiatry and Mental Health (Q1)";"Arts and Humanities; Medicine; Psychology"
45;12000154320;"Addiction science &amp; clinical practice";journal;"19400632, 19400640";1,307;Q1;48;72;173;3761;547;163;3,03;52,24;United Kingdom;Western Europe;"BioMed Central Ltd";"2007-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
46;16817;"Journal of Psychosomatic Research";journal;"18791360, 00223999";1,304;Q1;176;266;644;13105;2550;589;3,70;49,27;United States;Northern America;"Elsevier Inc.";"1956-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
47;19885;"Stress and Health";journal;"15323005, 15322998";1,303;Q1;82;169;243;10435;1172;239;4,27;61,75;United States;Northern America;"John Wiley &amp; Sons Inc.";"2001-2023";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
48;16248;"Journal of Attention Disorders";journal;"10870547, 15571246";1,297;Q1;88;143;537;8014;1954;531;3,46;56,04;United States;Northern America;"SAGE Publications Inc.";"1996-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1)";"Psychology"
49;14016;"Psychology and Psychotherapy: Theory, Research and Practice";journal;"20448341, 14760835";1,263;Q1;73;72;191;4282;718;188;3,68;59,47;United States;Northern America;"Wiley-Blackwell";"1920-1939, 1996-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Arts and Humanities; Medicine; Psychology"
50;14097;"European Eating Disorders Review";journal;"10990968, 10724133";1,256;Q1;83;86;216;4880;1106;206;4,88;56,74;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
51;20369;"Journal of Family Violence";journal;"08857482, 15732851";1,247;Q1;93;281;290;16129;1351;286;4,93;57,40;United States;Northern America;"Springer New York";"1986-2023";"Clinical Psychology (Q1); Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
52;21100915393;"Neuroscience of Consciousness";journal;"20572107";1,183;Q1;16;26;88;2293;364;88;4,31;88,19;United Kingdom;Western Europe;"Oxford University Press";"2017, 2019-2023";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
53;16246;"Journal of Alzheimer's Disease";journal;"13872877, 18758908";1,172;Q1;177;772;2451;43700;9343;2443;3,40;56,61;Netherlands;Western Europe;"IOS Press BV";"1998-2023";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Neuroscience (miscellaneous) (Q2)";"Medicine; Neuroscience; Psychology"
54;20374;"Journal of Interpersonal Violence";journal;"08862605";1,169;Q1;127;522;2502;29235;8781;2497;3,43;56,01;United States;Northern America;"SAGE Publications Inc.";"1986-2023";"Applied Psychology (Q1); Clinical Psychology (Q1)";"Psychology"
55;12887;"Cognitive Therapy and Research";journal;"01475916, 15732819";1,162;Q1;115;109;284;6945;897;281;2,86;63,72;United States;Northern America;"Springer New York";"1977-2023";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1)";"Psychology"
56;18746;"Psychopathology";journal;"02544962, 1423033X";1,152;Q1;72;60;118;3629;392;114;2,23;60,48;Switzerland;Western Europe;"S. Karger AG";"1968-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
57;25372;"Psychology of Addictive Behaviors";journal;"0893164X";1,151;Q1;122;68;325;3580;1050;324;2,82;52,65;United States;Northern America;"Educational Publishing Foundation";"1993-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
58;14077;"Psychotherapy";journal;"19391536, 00333204";1,145;Q1;93;45;179;2329;556;179;2,87;51,76;United States;Northern America;"American Psychological Association";"1973-1978, 1980-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
59;12004;"Journal of Trauma and Dissociation";journal;"15299740, 15299732";1,141;Q1;57;46;131;2030;431;111;2,68;44,13;United States;Northern America;"Routledge";"2000-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
60;15410;"Journal of Clinical Psychology";journal;"00219762, 10974679";1,133;Q1;142;177;506;9658;1749;495;3,09;54,56;United States;Northern America;"John Wiley &amp; Sons Inc.";"1945-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1)";"Arts and Humanities; Psychology"
61;21100228093;"Depression Research and Treatment";journal;"20901321, 2090133X";1,132;Q1;36;10;47;664;214;47;2,60;66,40;Egypt;Africa/Middle East;"Hindawi Limited";"2010-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
62;16200;"International Psychogeriatrics";journal;"1741203X, 10416102";1,121;Q1;119;144;556;3688;1618;294;2,14;25,61;United Kingdom;Western Europe;"Cambridge University Press";"1989-2023";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Nursing; Psychology"
63;25231;"American Journal on Addictions";journal;"10550496, 15210391";1,100;Q1;88;74;202;2041;534;189;2,36;27,58;United States;Northern America;"Wiley-Blackwell";"1992-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
64;21101170600;"Psychoradiology";journal;"26344416";1,093;Q1;4;31;21;2444;83;20;3,95;78,84;United Kingdom;Western Europe;"Oxford University Press";"2021-2023";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Psychology (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Artificial Intelligence (Q2); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)";"Computer Science; Medicine; Neuroscience; Psychology"
65;13547;"Eating Disorders";journal;"1532530X, 10640266";1,082;Q1;61;43;125;1764;479;124;3,67;41,02;United States;Northern America;"Routledge";"1993-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
66;21100388400;"Addictive Behaviors Reports";journal;"23528532";1,075;Q1;37;43;214;1937;844;208;3,54;45,05;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
67;13486;"Death Studies";journal;"10917683, 07481187";1,068;Q1;81;155;439;6613;1920;436;4,00;42,66;United States;Northern America;"Taylor and Francis Ltd.";"1985-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1)";"Arts and Humanities; Psychology"
68;21100900600;"Current Treatment Options in Psychiatry";journal;"21963061";1,054;Q1;26;29;81;1970;276;81;2,18;67,93;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
69;12867;"Cognitive and Behavioral Practice";journal;"1878187X, 10777229";1,034;Q1;72;83;185;4410;541;182;2,84;53,13;United States;Northern America;"Elsevier Inc.";"1994-2023";"Clinical Psychology (Q1)";"Psychology"
70;16188;"Journal of the International Neuropsychological Society";journal;"13556177, 14697661";1,028;Q1;146;113;282;5973;891;280;3,00;52,86;United Kingdom;Western Europe;"Cambridge University Press";"1995-2023";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Neuroscience; Psychology"
71;13450;"Counselling Psychology Quarterly";journal;"09515070, 14693674";1,012;Q1;45;64;129;4108;423;126;2,85;64,19;United Kingdom;Western Europe;"Routledge";"1988-2023";"Clinical Psychology (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
72;18000156703;"Counselling and Psychotherapy Research";journal;"14733145, 17461405";1,009;Q1;41;159;270;7986;981;269;4,07;50,23;United States;Northern America;"Wiley-Blackwell";"2001-2023";"Clinical Psychology (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
73;96959;"Journal of the American Psychoanalytic Association";journal;"19412460, 00030651";1,003;Q1;54;50;200;1294;166;130;0,74;25,88;United States;Northern America;"SAGE Publications Inc.";"1953-2023";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1)";"Arts and Humanities; Psychology"
74;29451;"Aggression and Violent Behavior";journal;"18736335, 13591789";1,002;Q1;130;45;308;4452;1270;300;3,08;98,93;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2024";"Clinical Psychology (Q1); Pathology and Forensic Medicine (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
75;19700182728;"Personality Disorders: Theory, Research, and Treatment";journal;"19492723, 19492715";0,998;Q1;66;50;199;2716;604;196;2,82;54,32;United States;Northern America;"American Psychological Association";"2005, 2010-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
76;200147135;"Journal of Child and Adolescent Mental Health";journal;"17280591, 17280583";0,992;Q1;22;0;21;0;26;20;0,11;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020, 2022-2023";"Clinical Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Developmental and Educational Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
77;14112;"Rehabilitation Psychology";journal;"00905550, 19391544";0,954;Q1;78;41;164;2386;493;164;2,11;58,20;United States;Northern America;"American Psychological Association";"1982-2023";"Clinical Psychology (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Psychiatry and Mental Health (Q2)";"Health Professions; Medicine; Psychology"
78;30045;"Journal of Personality Disorders";journal;"0885579X, 19432763";0,948;Q1;105;42;198;2358;541;194;2,18;56,14;United States;Northern America;"Guilford Publications";"1987-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
79;144801;"Journal of Psychotherapy Integration";journal;"10530479";0,938;Q2;43;18;115;1235;392;106;2,06;68,61;United States;Northern America;"American Psychological Association";"1996-2023";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
80;58705;"Psychology, Health and Medicine";journal;"13548506, 14653966";0,938;Q2;76;300;491;11321;1804;490;4,00;37,74;United Kingdom;Western Europe;"Routledge";"1996-2023";"Applied Psychology (Q2); Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
81;21100794825;"Health Psychology Open";journal;"20551029";0,937;Q2;29;17;98;1275;344;97;1,98;75,00;United States;Northern America;"SAGE Publications Inc.";"2014-2023";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
82;28652;"Clinical Gerontologist";journal;"15452301, 07317115";0,932;Q2;43;111;258;5452;747;233;3,01;49,12;United States;Northern America;"Routledge";"1982-2023";"Health (social science) (Q1); Clinical Psychology (Q2); Geriatrics and Gerontology (Q2); Gerontology (Q2); Social Psychology (Q2)";"Medicine; Nursing; Psychology; Social Sciences"
83;21101042149;"Stigma and Health";journal;"23766964, 23766972";0,928;Q2;12;60;183;3644;526;183;2,76;60,73;United States;Northern America;"American Psychological Association";"2020-2023";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1); Clinical Psychology (Q2); Psychiatry and Mental Health (Q2); Social Psychology (Q2)";"Medicine; Psychology"
84;5300152209;"Psychological Services";journal;"15411559";0,926;Q2;57;68;376;2927;860;373;2,10;43,04;United States;Northern America;"American Psychological Association";"2004-2023";"Applied Psychology (Q2); Clinical Psychology (Q2)";"Psychology"
85;17500155127;"Sleep Medicine Clinics";journal;"1556407X, 15564088";0,923;Q2;56;57;175;3879;635;151;3,16;68,05;United States;Northern America;"W.B. Saunders";"2006-2023";"Medicine (miscellaneous) (Q1); Neuropsychology and Physiological Psychology (Q1); Clinical Psychology (Q2); Neurology (clinical) (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
86;19227;"Research in Developmental Disabilities";journal;"18733379, 08914222";0,889;Q2;111;155;578;8011;2013;566;3,28;51,68;United States;Northern America;"Elsevier Inc.";"1987-2023";"Clinical Psychology (Q2); Developmental and Educational Psychology (Q2)";"Psychology"
87;12100156481;"International Journal of Art Therapy: Inscape";journal;"17454832, 17454840";0,885;Q2;24;41;68;1847;214;57;2,49;45,05;United Kingdom;Western Europe;"Routledge";"2010-2023";"Rehabilitation (Q1); Clinical Psychology (Q2)";"Medicine; Psychology"
88;21100872040;"Cognitive Behaviour Therapist";journal;"1754470X";0,864;Q2;23;36;154;2131;382;153;1,55;59,19;United Kingdom;Western Europe;"Cambridge University Press";"2008-2023";"Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
89;20300195073;"Journal of Applied Research in Memory and Cognition";journal;"22113681";0,854;Q2;49;51;240;2554;636;189;2,24;50,08;United States;Northern America;"Society for Applied Research in Memory and Cognition";"2012-2023";"Applied Psychology (Q2); Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
90;16705;"Journal of Emotional and Behavioral Disorders";journal;"15384799, 10634266";0,851;Q2;76;34;66;2061;199;66;2,89;60,62;United States;Northern America;"SAGE Publications Inc.";"1993-2023";"Education (Q1); Clinical Psychology (Q2); Developmental and Educational Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology; Social Sciences"
91;21101076715;"Journal of Affective Disorders Reports";journal;"26669153";0,848;Q2;28;165;488;9021;1332;470;2,78;54,67;Netherlands;Western Europe;"Elsevier B.V.";"2020-2023";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
