Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
15;18742;"Psychological Medicine";journal;"14698978, 00332917";2,768;Q1;243;961;990;52111;7264;922;7,05;54,23;United Kingdom;Western Europe;"Cambridge University Press";"1970-2023";"Applied Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
16;15391;"Journal of Black Psychology, The";journal;"15524558, 00957984";2,765;Q1;68;37;77;2502;595;74;2,66;67,62;United States;Northern America;"SAGE Publications Inc.";"1978-2023";"Anthropology (Q1); Applied Psychology (Q1)";"Psychology; Social Sciences"
17;14014;"Psychology and Marketing";journal;"07426046, 15206793";2,760;Q1;143;160;421;13451;4238;412;10,85;84,07;United States;Northern America;"Wiley-Liss Inc.";"1984-2023";"Applied Psychology (Q1); Marketing (Q1)";"Business, Management and Accounting; Psychology"
18;12029;"Applied Psychology";journal;"0269994X, 14640597";2,664;Q1;111;94;195;7402;1885;181;9,53;78,74;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1955, 1961-1992, 1996-2023";"Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1)";"Arts and Humanities; Psychology"
19;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";2,605;Q1;48;6;27;877;314;27;8,24;146,17;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2023";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
20;30017;"Journal of Occupational and Organizational Psychology";journal;"20448325, 09631798";2,529;Q1;137;61;104;5735;824;103;7,24;94,02;United States;Northern America;"Wiley-Blackwell";"1992-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
21;24718;"Human Resource Management";journal;"00904848, 1099050X";2,344;Q1;114;52;122;5577;1062;121;7,59;107,25;United States;Northern America;"Wiley-Liss Inc.";"1961-2023";"Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Psychology"
22;28094;"Accounting, Organizations and Society";journal;"03613682";2,208;Q1;157;49;111;4588;674;108;4,41;93,63;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2023";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
23;29282;"Journal of Occupational Health Psychology";journal;"19391307, 10768998";2,169;Q1;146;26;107;2114;718;106;6,18;81,31;United States;Northern America;"Educational Publishing Foundation";"1996-2023";"Applied Psychology (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Psychology"
24;29412;"Group and Organization Management";journal;"10596011";2,165;Q1;102;93;117;8649;753;105;6,11;93,00;United States;Northern America;"SAGE Publications Inc.";"1976-2023";"Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1)";"Arts and Humanities; Business, Management and Accounting; Psychology"
25;17900156719;"International Review of Sport and Exercise Psychology";journal;"1750984X, 17509858";2,066;Q1;56;37;99;3713;762;98;6,76;100,35;United Kingdom;Western Europe;"Routledge";"2009-2023";"Applied Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology"
26;15470;"Journal of Environmental Psychology";journal;"02724944, 15229610";2,060;Q1;181;203;407;15007;3332;392;6,80;73,93;United States;Northern America;"Academic Press";"1981-2023";"Applied Psychology (Q1); Social Psychology (Q1)";"Psychology"
27;15392;"Journal of Business and Psychology";journal;"1573353X, 08893268";2,041;Q1;99;91;182;9001;1151;180;5,61;98,91;United States;Northern America;"Kluwer Academic/Human Sciences Press Inc.";"1986-2023";"Applied Psychology (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)";"Business, Management and Accounting; Psychology"
28;5700167235;"International Journal of Consumer Studies";journal;"14706423, 14706431";2,019;Q1;98;140;260;17167;3124;259;12,95;122,62;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2023";"Applied Psychology (Q1); Economics and Econometrics (Q1); Marketing (Q1); Public Health, Environmental and Occupational Health (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Psychology"
29;12772;"British Journal of Health Psychology";journal;"1359107X, 20448287";1,992;Q1;103;82;198;4661;1428;192;5,21;56,84;United States;Northern America;"Wiley-Blackwell";"1996-2023";"Applied Psychology (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Psychology"
30;12859;"Cognition and Instruction";journal;"1532690X, 07370008";1,933;Q1;95;16;58;1494;236;58;3,84;93,38;United Kingdom;Western Europe;"Routledge";"1984-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
31;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";1,924;Q1;34;10;30;676;257;30;8,20;67,60;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2023";"Applied Psychology (Q1); Law (Q1)";"Psychology; Social Sciences"
32;21100222556;"Journal of Contextual Behavioral Science";journal;"22121447";1,902;Q1;46;94;276;5754;1444;257;3,58;61,21;United States;Northern America;"Elsevier Inc.";"2012-2023";"Applied Psychology (Q1); Behavioral Neuroscience (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Health (social science) (Q1); Organizational Behavior and Human Resource Management (Q1)";"Agricultural and Biological Sciences; Business, Management and Accounting; Neuroscience; Psychology; Social Sciences"
33;13563;"Educational and Psychological Measurement";journal;"00131644, 15523888";1,866;Q1;112;71;150;3408;620;150;3,57;48,00;United States;Northern America;"SAGE Publications Inc.";"1941-2023";"Applied Mathematics (Q1); Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)";"Mathematics; Psychology; Social Sciences"
34;4700152304;"European Journal of Work and Organizational Psychology";journal;"1359432X";1,799;Q1;92;71;195;6380;1151;194;5,23;89,86;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
35;12058;"Assessment";journal;"10731911, 15523489";1,785;Q1;105;211;402;13620;2055;402;4,91;64,55;United States;Northern America;"SAGE Publications Inc.";"1994-2023";"Applied Psychology (Q1); Clinical Psychology (Q1)";"Psychology"
36;21100200437;"Applied Psychology: Health and Well-Being";journal;"17580854, 17580846";1,780;Q1;49;108;209;6416;1296;206;4,81;59,41;United States;Northern America;"Wiley-Blackwell";"2012-2023";"Applied Psychology (Q1)";"Psychology"
37;12159;"Body Image";journal;"17401445, 18736807";1,738;Q1;108;133;415;9162;2596;412;5,58;68,89;Netherlands;Western Europe;"Elsevier B.V.";"2004-2023";"Applied Psychology (Q1); Psychology (miscellaneous) (Q1); Social Psychology (Q1)";"Psychology"
38;21101095132;"Behavioural Public Policy";journal;"23980648, 2398063X";1,532;Q1;22;27;93;1174;380;87;4,13;43,48;United Kingdom;Western Europe;"Cambridge University Press";"2017-2023";"Applied Psychology (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
39;15383;"Journal of Applied Behavioral Science, The";journal;"15526879, 00218863";1,478;Q1;81;46;110;2769;593;105;4,25;60,20;United States;Northern America;"SAGE Publications Inc.";"1965-2023";"Applied Psychology (Q1)";"Psychology"
40;14031;"Psychology of Men and Masculinity";journal;"1939151X, 15249220";1,438;Q1;74;31;187;2124;650;186;2,92;68,52;United States;Northern America;"American Psychological Association";"2000-2023";"Applied Psychology (Q1); Gender Studies (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
41;25019;"Human-Computer Interaction";journal;"15327051, 07370024";1,437;Q1;78;35;68;3632;395;57;5,43;103,77;United States;Northern America;"Taylor and Francis Ltd.";"1985-1987, 1989-2023";"Applied Psychology (Q1); Human-Computer Interaction (Q1)";"Computer Science; Psychology"
42;19700176047;"Cyberpsychology, Behavior, and Social Networking";journal;"21522715, 21522723";1,436;Q1;180;131;409;5103;2479;365;5,33;38,95;United States;Northern America;"Mary Ann Liebert Inc.";"2010-2023";"Applied Psychology (Q1); Communication (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1)";"Computer Science; Medicine; Psychology; Social Sciences"
43;22915;"Journal of Economic Psychology";journal;"01674870";1,404;Q1;118;62;183;3800;540;178;2,51;61,29;Netherlands;Western Europe;"Elsevier B.V.";"1981-2023";"Applied Psychology (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
44;29755;"Human Factors";journal;"00187208, 15478181";1,385;Q1;140;175;279;8775;1633;269;5,32;50,14;United States;Northern America;"SAGE Publications Inc.";"1958-2023";"Applied Psychology (Q1); Behavioral Neuroscience (Q1); Human Factors and Ergonomics (Q1)";"Neuroscience; Psychology; Social Sciences"
45;21101078838;"Computers in Human Behavior Reports";journal;"24519588";1,365;Q1;22;81;209;5971;1446;207;6,45;73,72;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2023";"Applied Psychology (Q1); Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Neuroscience (miscellaneous) (Q1)";"Computer Science; Neuroscience; Psychology"
46;15398;"Journal of Career Assessment";journal;"10690727, 15524590";1,361;Q1;76;66;115;4342;570;115;4,56;65,79;United States;Northern America;"SAGE Publications Inc.";"1993-2023";"Applied Psychology (Q1); Education (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
47;20654;"Journal of Managerial Psychology";journal;"02683946";1,337;Q1;99;53;134;3162;623;127;3,70;59,66;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1986-2023";"Applied Psychology (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Decision Sciences; Psychology"
48;25733;"Journal of Criminal Justice";journal;"00472352";1,332;Q1;100;79;221;6468;1044;221;4,28;81,87;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2023";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
49;19600166326;"Mindfulness";journal;"18688535, 18688527";1,319;Q1;88;242;749;16301;2921;701;3,69;67,36;Germany;Western Europe;"Springer Verlag";"2010-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Health (social science) (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
50;14107;"European Journal of Psychological Assessment";journal;"21512426, 10155759";1,312;Q1;76;87;206;4090;759;203;4,09;47,01;United States;Northern America;"Hogrefe Publishing";"1996-2023";"Applied Psychology (Q1)";"Psychology"
51;21101021052;"Journal of the Association for Consumer Research";journal;"23781823, 23781815";1,306;Q1;30;42;142;1710;369;134;2,12;40,71;United States;Northern America;"University of Chicago Press";"2016-2023";"Applied Psychology (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology"
52;19885;"Stress and Health";journal;"15323005, 15322998";1,303;Q1;82;169;243;10435;1172;239;4,27;61,75;United States;Northern America;"John Wiley &amp; Sons Inc.";"2001-2023";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
53;14761;"International Journal of Stress Management";journal;"10725245, 15733424";1,292;Q1;72;33;112;2385;454;110;2,52;72,27;United States;Northern America;"American Psychological Association";"1994-2023";"Applied Psychology (Q1); Business, Management and Accounting (miscellaneous) (Q1); Education (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)";"Business, Management and Accounting; Medicine; Psychology; Social Sciences"
54;16925;"American Journal of Community Psychology";journal;"00910562, 15732770";1,287;Q1;130;105;222;6755;964;215;3,93;64,33;United States;Northern America;"Wiley-Blackwell";"1973-2023";"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
55;13438;"Counseling Psychologist";journal;"15523861, 00110000";1,263;Q1;92;42;130;2328;467;128;2,17;55,43;United States;Northern America;"SAGE Publications Inc.";"1969-2023";"Applied Psychology (Q1)";"Psychology"
56;20897;"Transportation Research Part F: Traffic Psychology and Behaviour";journal;"13698478";1,262;Q1;118;223;690;13275;3434;687;4,22;59,53;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2023";"Applied Psychology (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Transportation (Q1)";"Engineering; Psychology; Social Sciences"
57;5700155900;"Applied Developmental Science";journal;"1532480X, 10888691";1,259;Q1;82;60;117;4546;554;105;2,31;75,77;United States;Northern America;"Psychology Press Ltd";"1997-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1)";"Psychology; Social Sciences"
58;12057;"Media Psychology";journal;"1532785X, 15213269";1,255;Q1;95;54;111;3186;590;110;5,25;59,00;United States;Northern America;"Routledge";"1999-2023";"Applied Psychology (Q1); Communication (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
59;17700156733;"Journal of Consumer Behaviour";journal;"14791838, 14720817";1,235;Q1;62;146;278;11975;1644;274;5,52;82,02;United States;Northern America;"Wiley-Blackwell";"2009-2023";"Applied Psychology (Q1); Social Psychology (Q1)";"Psychology"
60;63777;"Personnel Review";journal;"00483486";1,228;Q1;89;172;340;12173;1966;335;5,35;70,77;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1971-2023";"Applied Psychology (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
61;21100378340;"Psychosocial Intervention";journal;"11320559, 21734712";1,225;Q1;32;17;50;1378;251;49;3,91;81,06;Spain;Western Europe;"Colegio Oficial de Psicologos de Madrid";"2011-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Social Psychology (Q1)";"Psychology"
62;15382;"Journal of Applied Behavior Analysis";journal;"19383703, 00218855";1,218;Q1;89;66;343;3371;1121;331;3,24;51,08;United States;Northern America;"Wiley-Blackwell";"1968-2023";"Applied Psychology (Q1); Philosophy (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
63;21100199546;"Translational Behavioral Medicine";journal;"16139860, 18696716";1,217;Q1;56;100;503;3072;1745;479;3,24;30,72;United States;Northern America;"Springer Publishing Company";"2011-2023";"Applied Psychology (Q1); Behavioral Neuroscience (Q1)";"Neuroscience; Psychology"
64;30047;"Journal of Positive Behavior Interventions";journal;"10983007, 15384772";1,181;Q1;71;26;72;1060;232;69;2,73;40,77;United States;Northern America;"SAGE Publications Inc.";"1999-2023";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)";"Medicine; Psychology"
65;20374;"Journal of Interpersonal Violence";journal;"08862605";1,169;Q1;127;522;2502;29235;8781;2497;3,43;56,01;United States;Northern America;"SAGE Publications Inc.";"1986-2023";"Applied Psychology (Q1); Clinical Psychology (Q1)";"Psychology"
66;12000154319;"Mental Health and Physical Activity";journal;"18780199, 17552966";1,158;Q2;47;62;131;3638;517;127;2,52;58,68;Netherlands;Western Europe;"Elsevier B.V.";"2008-2023";"Psychiatry and Mental Health (Q1); Applied Psychology (Q2)";"Medicine; Psychology"
67;24842;"International Journal of Selection and Assessment";journal;"14682389, 0965075X";1,152;Q2;72;45;118;3078;391;117;3,08;68,40;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993-2023";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Psychology (miscellaneous) (Q1); Strategy and Management (Q1); Applied Psychology (Q2)";"Business, Management and Accounting; Psychology"
68;14277;"Health Psychology";journal;"19307810, 02786133";1,150;Q2;188;87;320;4813;1263;315;3,12;55,32;United States;Northern America;"American Psychological Association";"1984-2023";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Applied Psychology (Q2)";"Medicine; Psychology"
69;14033;"Psychology of Sport and Exercise";journal;"14690292";1,150;Q2;115;155;518;8979;2171;505;3,83;57,93;Netherlands;Western Europe;"Elsevier B.V.";"2000-2024";"Sports Science (Q1); Applied Psychology (Q2)";"Health Professions; Psychology"
70;14012;"Psychology and Health";journal;"08870446, 14768321";1,092;Q2;108;171;307;10418;1087;305;3,20;60,92;United Kingdom;Western Europe;"Routledge";"1987-2023";"Public Health, Environmental and Occupational Health (Q1); Applied Psychology (Q2)";"Medicine; Psychology"
71;19172;"Psychosomatic Medicine";journal;"00333174, 15347796";1,081;Q2;209;106;377;5447;1065;353;2,69;51,39;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1945-2023";"Developmental and Educational Psychology (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
72;21101017693;"Motivation Science";journal;"23338113, 23338121";1,074;Q2;12;30;112;1696;356;110;2,63;56,53;United States;Northern America;"American Psychological Association";"2019-2023";"Developmental and Educational Psychology (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Applied Psychology (Q2)";"Environmental Science; Psychology"
73;14420;"Journal of Career Development";journal;"08948453, 15733548";1,069;Q2;57;73;203;3979;883;203;4,06;54,51;United States;Northern America;"SAGE Publications Inc.";"1972-1973, 1975-2023";"Education (Q1); Psychology (miscellaneous) (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Psychology; Social Sciences"
74;19400157006;"Judgment and Decision Making";journal;"19302975";1,062;Q2;73;32;193;1591;517;190;2,04;49,72;United States;Northern America;"Society for Judgment and Decision making";"2008-2023";"Decision Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1); Applied Psychology (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Psychology"
75;19870;"Journal of Applied Sport Psychology";journal;"10413200, 15331571";1,059;Q2;89;75;137;4224;604;125;4,26;56,32;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2023";"Applied Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology"
76;19700186336;"Psychology of Violence";journal;"21520828, 2152081X";1,049;Q2;60;24;170;1413;562;170;2,69;58,88;United States;Northern America;"American Psychological Association";"2010-2023";"Health (social science) (Q1); Social Psychology (Q1); Applied Psychology (Q2)";"Psychology; Social Sciences"
77;14818;"Small Group Research";journal;"15528278, 10464964";1,047;Q2;84;34;76;2906;365;75;4,39;85,47;United States;Northern America;"SAGE Publications Inc.";"1970-2023";"Social Psychology (Q1); Applied Psychology (Q2)";"Psychology"
78;20537;"Journal of Behavioral Decision Making";journal;"08943257, 10990771";1,040;Q2;92;56;134;3387;420;134;2,61;60,48;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2023";"Arts and Humanities (miscellaneous) (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1); Applied Psychology (Q2); Decision Sciences (miscellaneous) (Q2)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
79;16221;"Irish Journal of Psychological Medicine";journal;"07909667";1,035;Q2;33;111;194;3244;633;167;1,79;29,23;United Kingdom;Western Europe;"Cambridge University Press";"1968, 1989-2023";"History and Philosophy of Science (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Arts and Humanities; Medicine; Psychology"
80;12111;"Behavioral Medicine";journal;"19404026, 08964289";1,033;Q2;58;62;108;3009;348;104;2,73;48,53;United States;Northern America;"Routledge";"1988-2023";"Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
81;21101020142;"International Journal of Wellbeing";journal;"11798602";1,026;Q2;13;19;76;1690;284;73;2,83;88,95;New Zealand;Pacific Region;"International Journal of Wellbeing Charitable Trust";"2019-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Social Psychology (Q1); Applied Psychology (Q2)";"Economics, Econometrics and Finance; Psychology"
82;15536;"Journal of Health Psychology";journal;"14617277, 13591053";1,022;Q2;105;131;690;6306;2472;679;3,39;48,14;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2023";"Applied Psychology (Q2)";"Psychology"
83;14873;"International Journal of Behavioral Medicine";journal;"15327558, 10705503";1,013;Q2;77;153;226;7805;730;223;2,75;51,01;United States;Northern America;"Routledge";"1994-2023";"Applied Psychology (Q2)";"Psychology"
84;13450;"Counselling Psychology Quarterly";journal;"09515070, 14693674";1,012;Q2;45;64;129;4108;423;126;2,85;64,19;United Kingdom;Western Europe;"Routledge";"1988-2023";"Clinical Psychology (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
85;18000156703;"Counselling and Psychotherapy Research";journal;"14733145, 17461405";1,009;Q2;41;159;270;7986;981;269;4,07;50,23;United States;Northern America;"Wiley-Blackwell";"2001-2023";"Clinical Psychology (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
86;14788;"Human Performance";journal;"08959285, 15327043";1,006;Q2;81;13;57;1269;185;57;3,33;97,62;United States;Northern America;"Taylor and Francis Ltd.";"1988-2023";"Psychology (miscellaneous) (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Psychology"
87;11600153433;"Games and Culture";journal;"15554139, 15554120";0,997;Q2;60;123;163;6410;691;162;3,93;52,11;United States;Northern America;"SAGE Publications Inc.";"2006-2023";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Applied Psychology (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science; Psychology; Social Sciences"
88;20000195043;"Nature and Science of Sleep";journal;"11791608";0,956;Q2;51;92;474;4769;1674;465;3,27;51,84;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2009-2023";"Applied Psychology (Q2); Behavioral Neuroscience (Q2)";"Neuroscience; Psychology"
89;21100217612;"Industrial and Organizational Psychology";journal;"17549426, 17549434";0,940;Q2;50;89;318;2000;376;87;1,22;22,47;United Kingdom;Western Europe;"Cambridge University Press";"2009-2023";"Applied Psychology (Q2); Social Psychology (Q2)";"Psychology"
90;15600154711;"International Journal of Sport and Exercise Psychology";journal;"1557251X, 1612197X";0,940;Q2;47;164;255;9440;998;248;3,61;57,56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2023";"Applied Psychology (Q2); Social Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology"
